status_id,code,text,is_quote,is_retweet,quoted_text,retweet_text
ID_1237264951456210944,2,Top #ncaa #prospects #Maryland #jalensmith #anthonycowanjr #basketball #college #collegebasketball #michiganstate #msu #cassiuswinston #xaviertillman #nba #nbatv https://t.co/MwGjHbNI27,FALSE,TRUE,NA,Top #ncaa #prospects #Maryland #jalensmith #anthonycowanjr #basketball #college #collegebasketball #michiganstate #msu #cassiuswinston #xaviertillman #nba #nbatv https://t.co/MwGjHbNI27
ID_1236687381073362944,2,"A ""really-would-be-nice"" win for @TerrapinHoops today as the go head-to-head with @umichbball. #FinishStrong #FearTheTurtle",FALSE,TRUE,NA,"A ""really-would-be-nice"" win for @TerrapinHoops today as the go head-to-head with @umichbball. #FinishStrong #FearTheTurtle"
ID_1233960763020185600,2,@HaskinsEra @ripjxden @TerrapinHoops When he’s in the xfl yeah,FALSE,FALSE,NA,NA
ID_1233980752003575808,2,@ShiningTimes777 @StansburyTodd @marchmadness @TheAndyKatz @ZagMBB @KUHoops @KentuckyMBB @TerrapinHoops @AuburnMBB @DaytonFlyers @OregonMBB @BaylorMBB @BYUbasketball @RutgersMBB https://t.co/E60nGTs6wn,FALSE,FALSE,NA,NA
ID_1238132258399272962,2,"Statement from Mark Turgeon: ""I understand and respect the conference's decision to cancel this year's Big Ten tournament. The health and safety of our student-athletes and entire program is paramount. This is an unprecedented situation that is much bigger than basketball. ...",FALSE,TRUE,NA,"Statement from Mark Turgeon: ""I understand and respect the conference's decision to cancel this year's Big Ten tournament. The health and safety of our student-athletes and entire program is paramount. This is an unprecedented situation that is much bigger than basketball. ..."
ID_1236979596190515202,2,@chiefjawnz @TerrapinHoops *donta scott*,FALSE,FALSE,NA,NA
ID_1238200089748942848,3,The one year Maryland had a chance 😩😩😩😭😭,TRUE,FALSE,"Nearly 10 of the top coaches in college basketball have spoken and are on board with the following idea, source told me. 

- Selection Sunday on as planned. 

- Postpone the NCAA Tournament and continue to monitor the situation. 

“We all talked, and agree on this,” once told me.",NA
ID_1236818663715540992,2,"SPORTS ALERT: Maryland beat Ohio State 82-65 to win their 4th Big 10 tournament title in 6 years. 
https://t.co/eqNsxGk8LW",FALSE,TRUE,NA,"SPORTS ALERT: Maryland beat Ohio State 82-65 to win their 4th Big 10 tournament title in 6 years. 
https://t.co/eqNsxGk8LW"
ID_1238480615135219718,4,"@Wikkedegg @lingxing01 @RepJohnYarmuth @TMeltonScouting I cope with my fear by using humor.

Come to think of it, dunno if Mitch could even get the virus. Many pathogens that affect humans need our body heat to survive, and he's a turtle, which are cold-blooded.",FALSE,FALSE,NA,NA
ID_1236003969396363270,3,Frickin stupid. Enjoy being scared,TRUE,FALSE,"Crowd wave at NCAA Division III men's basketball tournament at JHU.  Aside from the players, these medical professionals bring the most energy. No fans are allowed due to coronavirus concerns in the state of Maryland. @WMAR2News https://t.co/OWeK5Ygin0",NA
ID_1236884537520599040,1,"One of the greatest days in Terps history! Two championships on the same day! It's a great day to be a Terp! #OneMaryland 

https://t.co/l4KnV1HV4Z",TRUE,TRUE,"NOTHING BUT NETS!!

For the first time ever, @TerrapinHoops and @umdwbb win titles on the same day! https://t.co/4xKrAFt6SY","One of the greatest days in Terps history! Two championships on the same day! It's a great day to be a Terp! #OneMaryland 

https://t.co/l4KnV1HV4Z"
ID_1237445568705622017,2,"🏆 @TerrapinHoops, @MSU_Basketball &amp; @BadgerMBB all added to their trophy cases over the weekend!

See who has the most regular season titles in @bigten history 👇 https://t.co/PHt3iG0dsu",FALSE,TRUE,NA,"🏆 @TerrapinHoops, @MSU_Basketball &amp; @BadgerMBB all added to their trophy cases over the weekend!

See who has the most regular season titles in @bigten history 👇 https://t.co/PHt3iG0dsu"
ID_1233962929478828032,3,@tblamb2you2 @WhenIDrinkAlone @marchmadness @KUHoops @BaylorMBB @ZagMBB @DaytonFlyers @Aztec_MBB @DukeMBB @FSUHoops @BluejayMBB @TerrapinHoops @LouisvilleMBB I’m not a sdsu fan but you sound dumb calling them out like that,FALSE,FALSE,NA,NA
ID_1233957790626041856,3,"Alex,,,we are sorry https://t.co/nIwSas57f6",TRUE,TRUE,Maryland football vs. Maryland basketball https://t.co/STQfpoyrMO,"Alex,,,we are sorry https://t.co/nIwSas57f6"
ID_1238279496005976066,2,Mark Turgeon will be on ESPN with SVP at 10:30 tonight.,FALSE,TRUE,NA,Mark Turgeon will be on ESPN with SVP at 10:30 tonight.
ID_1238316388336513024,2,"Maryland men’s basketball head coach Mark Turgeon joins @notthefakeSVP to discuss the abrupt end of the season.

The one silver lining the Terps can take from a heartbreaking day is that they spent their last moments on the court together cutting down nets as champions. (1/2) https://t.co/ei0MTENqOt",FALSE,TRUE,NA,"Maryland men’s basketball head coach Mark Turgeon joins @notthefakeSVP to discuss the abrupt end of the season.

The one silver lining the Terps can take from a heartbreaking day is that they spent their last moments on the court together cutting down nets as champions. (1/2) https://t.co/ei0MTENqOt"
ID_1236769118663184384,1,"Maryland men’s: Big Ten champs

Maryland women’s: Big Ten champs

Big Ten basketball is different in College Park",FALSE,TRUE,NA,"Maryland men’s: Big Ten champs

Maryland women’s: Big Ten champs

Big Ten basketball is different in College Park"
ID_1233940516238249984,2,@TerrapinHoops I’m sorry but what is going on,FALSE,FALSE,NA,NA
ID_1233922524242726913,2,No. 9 Maryland men's basketball vs No. 24 Michigan State is officially underway.,FALSE,TRUE,NA,No. 9 Maryland men's basketball vs No. 24 Michigan State is officially underway.
ID_1238484373411745792,2,@freaknroller @Ayush_Diseye @TerrapinHoops @CoachTurgeon @notthefakeSVP @DanielDerio_ Why is the trophy in Wisconsin?,FALSE,FALSE,NA,NA
ID_1236717269213949953,1,Dude is a special player that's perfect for modern basketball. His decision is going to change the trajectory of college basketball next season.,TRUE,TRUE,"Source: Harvard grad transfer Seth Towns is considering Kansas, Virginia, Syracuse, Ohio State, Michigan, and Maryland. Immediately eligible for next season.",Dude is a special player that's perfect for modern basketball. His decision is going to change the trajectory of college basketball next season.
ID_1235652553578139649,2,"Men's college basketball players with 50+ blocks, 15+ 3-pointers, 35% 3-point shooting and 55% 2-point shooting:

- Iowa's Luka Garza*
- Maryland's Jalen Smith*
- Virginia's Jay Huff

*Were named to the list of 10 semifinalists for the Naismith POTY award today",FALSE,TRUE,NA,"Men's college basketball players with 50+ blocks, 15+ 3-pointers, 35% 3-point shooting and 55% 2-point shooting:

- Iowa's Luka Garza*
- Maryland's Jalen Smith*
- Virginia's Jay Huff

*Were named to the list of 10 semifinalists for the Naismith POTY award today"
ID_1233939900938031106,2,#Spartans start the 2nd half on a 9-4 run to take a 49-33 lead.  #Terps call TO with 17:15 to go.,FALSE,FALSE,NA,NA
ID_1236712619651878913,2,Please finish this. #Terps,FALSE,FALSE,NA,NA
