status_id,text,coded
1.23568342166351E+018,"A generous friend of the Terps from Connecticut just stepped up and gave $50,000 towards the Basketball Performance Center! 👏👏

https://t.co/3RX2lhjMK7 https://t.co/gOAGLaAAdb",1
1.23678050467603E+018,"Mark Turgeon on sharing the Big Ten title vs. winning it outright, the pressure he and his team were under, his celebratory hug with Anthony Cowan and lots more: https://t.co/e8IcHXYHfd #Terps https://t.co/KBBG2NT2Cv",2
1.23572312187072E+018,Maryland-Eastern Shore vs Coppin State Basketball Live Stream 06-Mar - USA - NCAAB https://t.co/VkwoZclk0y https://t.co/YubHppPcMl,4
1.23392405172437E+018,@JoeWagnerBalt Go Terps 🏀🐢,1
1.23735253759601E+018,"Guess what we just dropped, #StonerFam! 🌿 The Terp of the Month 🌿 is Linalool! Get your #Reading #Glasses 👓 and your favorite #Nug ready! Learn more below! 🌳

https://t.co/5JQL6pWrpx

#terpenes #terps #TerpOfTheMonth #StonerLife #WeedLovers #CannabisCulture
🔥🌲😎💨 https://t.co/gc0UsusSXX",4
1.23811793527893E+018,Sometimes a #Terps fan just can’t help himself https://t.co/qyLbZBhPSi,2
1.23680063595528E+018,@seangentille Go Terps,1
1.23606468321756E+018,B6: Terps go down in order to end the sixth. Still 9-3,2
1.23847031618945E+018,"Thank You, Terp Nation https://t.co/13gSYdNc6K",1
1.23811475048083E+018,"""AFTERNOON VIBES😤😤😤ITS WICKED WEDNESDAY😤😤💨💨🔥🔥🚀🚀#TERPS #STONERFAM @PPP #HITMYNOTE @AmeriCannaBlunt @AATFP @NorCalStoner420 @ChefJoeette @therealChef420 @pufcreativ @herbalinfuser @tnbnatural @samrulestheworl @lanni_1503 @LeoGirl_22 @RedBuds https://t.co/F4vDUn4DmT",4
1.23813384239911E+018,F U CORONA,3
1.2382655009222E+018,"Big Ten Champions!

#9 Maryland handles #25 Michigan 83-70. Terrapins capture a share of the Big Ten Title for the first time under Mark Turgeon. 

Anthony Cowan: 20 PTS, 8 AST, 4 REB

 https://t.co/OOLf2n8gpa",2
1.23674580867608E+018,Anthony Cowan Jr. ended the @B1GMBBall regular season and his home @TerrapinHoops career with a net around his neck and a piece of the Big Ten title:,2
1.23680347541942E+018,Congratulations to the University of Maryland Terrapins men's basketball team for winning their first Big Ten Championship! https://t.co/HEHcHMRBO7,1
1.23670482439526E+018,@LukaGarza @BigTenNetwork @TerrapinHoops https://t.co/uo4atj2K04,2
1.23829030044504E+018,"Thank You, Terp Nation https://t.co/13gSYdNc6K",1
1.23846998120718E+018,"Was really looking forward to getting back to @SoccerSaturday but these are the right decisions. So much fear and bad news right now, so here’s a video of my little boy in deep discussion with his toy turtle 🐢 😊 hope it breaks your timeline up a bit ❤️ https://t.co/Hk2dSnq0YN",4
1.23396578157205E+018,@_____Chach_____ @WBrettzky @goMSUbuttboy69 @TerrapinHoops https://t.co/AHntdo1xZU,2
1.23678301669076E+018,"""Just knowing that we got to get him this championship, his first one, it’s an amazing feeling,"" Jalen Smith said.

https://t.co/0KLncWhLaH",1
1.23671959048025E+018,@TimBrando with the “Boy is there gonna be a party at Bentleys tonight!” when @TerrapinHoops clinched the Big Ten title. Lmao,1
1.23395714898976E+018,https://t.co/2EighbCe9Z,2
1.23829305913525E+018,"Thank You, Terp Nation https://t.co/13gSYdNc6K",1
1.23848199007842E+018,"Thank You, Terp Nation https://t.co/13gSYdNc6K",1
1.23726050028891E+018,"🏆 @TerrapinHoops, @MSU_Basketball &amp; @BadgerMBB all added to their trophy cases over the weekend!

See who has the most regular season titles in @bigten history 👇 https://t.co/PHt3iG0dsu",2
1.23396218156316E+018,Turgeon: “Gotta be resilient and bounce back...play with more confidence and grit” #Terps,2
1.23394374402355E+018,@TerrapinHoops Nice performance to honor the team,1
1.23744739785857E+018,"The daily #Colorado #UMD #Terps digest is out!
https://t.co/ywOUHI6FEa",2
1.23670695775664E+018,Michigan cuts Maryland's lead to five and Turgeon calls a timeout. Maryland's lead hasn't been this small since the 8:12 mark of the first half.,3
1.23672145109028E+018,"🐢🏆

Congrats to No. 9 @TerrapinHoops on winning a share of its first B1G title. https://t.co/lC3pFBacYl",1
1.23672164138584E+018,Congratulations @TerrapinHoops,1
1.23683543573057E+018,https://t.co/EUkwjPwu3f,2
1.23681301447884E+018,"CONGRATS, @TerrapinHoops!",1
1.23395871600275E+018,"Taking on the Terps in primetime 🏀

8 PM ET on ESPN. 

#GoGreen https://t.co/UOPjaGC20l",2
1.23672943159251E+018,Idk why basketball was on in the nail salon but shout to Maryland for the big win,1
1.23390591646403E+018,Maryland football vs. Maryland basketball https://t.co/STQfpoyrMO,2
1.2368526298016E+018,"History was made today for Maryland Basketball, winning a share of the Big Ten regular-season title for the first time ever. 

@ABrownSports has the story for this game.

https://t.co/uGDQO1INeA",1
1.23668802213083E+018,I'm very pleased with this start #Terps,1
1.23803933053223E+018,La #meetingindustry fa fronte comune! E noi #Terps con loro! #eventsmustgoon #uncrownthevirus https://t.co/2JpqWhLczv,4
1.23684252573583E+018,"🗣 Let's cut down some nets

@TerrapinHoops celebrates winning their first @BigTen title in program history! https://t.co/2HGMgXBL7R",1
1.23672994452232E+018,"@TerrapinHoops Well, co-champions. Fucked the Champion thing a few games ago #fireturgeon",3
1.23392091444369E+018,"Of course Duke and UVA, two teams I despise, are going long and keeping me away from @TerrapinHoops",3
1.23396572228135E+018,@tblamb2you2 @BurnerAnthony @WhenIDrinkAlone @marchmadness @KUHoops @BaylorMBB @ZagMBB @DaytonFlyers @Aztec_MBB @DukeMBB @FSUHoops @BluejayMBB @TerrapinHoops @LouisvilleMBB Man these guys don't understand that Dayton has been trying to get there so called power house to agree to a hole and home they refuse when we did play them we smashed them like pit when they was the 6th ranked team in the nation or Louisville when they was 11th ever since nobody,3
1.23428952049501E+018,https://t.co/2EighbCe9Z,2
1.23392296222455E+018,"Taking on the Terps in primetime 🏀

8 PM ET on ESPN. 

#GoGreen https://t.co/UOPjaGC20l",2
1.23574374219729E+018,"💪🏽 Randy B / Director
Nike 🏀 Shooting Camp 
West Deptford NJ 
Harford County MD
July 20-24 2020 Registration is Now
https://t.co/7Y9uwUi4df
PUT IT IN THE BOOK 💪🏽 https://t.co/P5LWID2iUz",4
1.23679863234885E+018,Will’s reaction is gold 🤔,1
1.23673125055723E+018,Michigan basketball vs. Maryland Terrapins: Live updates - Detroit Free Press https://t.co/3kmYRAPnjG #basketball #basketballnews,2
