status_id,text,is_quote,is_retweet,quoted_text,retweet_text,Sentiment,Unsure,Comments
1.24E+18,"""I was surprised. Kind of in shock."" - @TerrapinHoops' Aaron Wiggins, @B1GMBBall's Sixth Man of the Year as voted by the coaches. https://t.co/gFlsXecCpo",NA,NA,NA,NA,2,,
1.24E+18,"""This is what it's all about!""

Raise that trophy @TerrapinHoops! 🏆 https://t.co/CjKEfG4RXx",NA,NA,NA,NA,1,,
1.24E+18,"""This is what it's all about!""

Raise that trophy @TerrapinHoops! 🏆 https://t.co/CjKEfG4RXx",NA,NA,NA,NA,1,,
1.24E+18,"""Whenever I come here, whenever I come back, it's always going to be home."" 

Maryland native @AnthonyCowanJr caught up with @TheAndyKatz after his final home game for @TerrapinHoops on what it all means to him ⬇️ https://t.co/hMAcAcqCa6",NA,NA,NA,NA,2,,
1.23E+18,"#9 Maryland hosts #24 Michigan State as a 3 point favourite tonight! 🏀

#FearTheTurtle #Maryland #GoGreen #SpartanDawgs https://t.co/lcZU0D8brl",NA,NA,NA,NA,2,,
1.24E+18,#BaltCo #Md —,NA,NA,NA,NA,,?,I don't know what these hashtags mean in context
1.24E+18,#FearTheTurtle #FTT 🐢 #B1G #B1GWBBall #ncaaW 🏀 #ScholarAthleteVenture https://t.co/6m9OTBdVOw,TRUE,TRUE,"The Terps hold off the Hoosiers and Maryland is going to the finals! 

@umdwbb https://t.co/xzhHDXtQAh",#FearTheTurtle #FTT 🐢 #B1G #B1GWBBall #ncaaW 🏀 #ScholarAthleteVenture https://t.co/6m9OTBdVOw,4,,
1.24E+18,"#GamblingTwitter #MarchMadness #Terps #wolverines #ncaa #parlays 

Like i said.. soon as you join you are@making money.. subscriber joins Thursday and goes 18-5 first 3 days.. doubles his unit values https://t.co/eqt8y6pj1t",NA,NA,NA,NA,2,?,neutral re: bball; positive re: gambling
1.23E+18,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj",NA,NA,NA,NA,4,?,"Seems irrelevant, unless there's some context I don't understand. Not even sure how this one got picked up in our relevancies."
1.24E+18,#Michigan leads the #Terps 7-6 at the under 16 TO.  Both teams are 3-6 from the floor,NA,NA,NA,NA,2,,
