status_id,text,code
1236728410203963393,"CUT ‘EM DOWN, COACH!

For the first time in history, @TerrapinHoops are Big Ten Champions!

Maryland 83-70 Michigan https://t.co/vR0cRN8DFl",1
1234307698113511425,UMD v MSU 2.0???,2
1236021210389114880,"""No spectators.""

An NCAA Division III men’s basketball tournament game in a heavily disinfected gym in Maryland is believed to be the first US sports event held without fans because of the coronavirus.  

by @swhyno 
 https://t.co/ekWVqe8AhQ",2
1233948059979173890,@TerrapinHoops let’s go,1
1236962768584138756,MM 3.9: Big Ten tournament bracket revealed for Maryland men’s basketball https://t.co/vB8oMqzRW7,2
1236887363479093248,"“I just don’t think anything else could beat wearing Maryland across my chest,” Travis Valmon said.

On Valmon, who sparingly plays in games but leaves a large imprint on Maryland men's basketball anyway.

https://t.co/wapx96I7b0",1
1235594924847968256,"Four-star sophomore forward @cwiggins30 recaps Maryland visit, says #Terps fans are unlike anything he's ever seen before:
https://t.co/orCk5CyrZq",1
1233941295770558470,"The largest deficit Maryland's managed to overcome this year is 17 points. That came Wednesday vs Minnesota.

Michigan State has a 16-point lead tonight with 17:15 to play

https://t.co/dxe4ZVK4C0 https://t.co/tnkGPiXm64",2
1233921566767026178,@wahoowon @TerrapinHoops @AnthonyCowanJr @EA_Glo @410D_ @JalenSmith2000 ACC = 🚮,3
1236724044180918276,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS,1
1237363330475589633,"My breakdown of @TerpsFootball running back (my rb5) Anthony McFarland on the @GoingFor_2 War Room

#NFLDraft #NFL
#NFLCombine #NFLTwitter
#draftpack #NFLDraftNews #Terps
#maryland

https://t.co/EnIrffxzMS",2
1237223191967338497,We have THOUGHTS on this. #freemicahpotter,3
1236844884172079107,A huge win for the Terps today and what an honor to raise up this trophy at home!! Congrats @TerrapinHoops! Proud to be part of #ONEMaryland! Get ready to dance Terps 🐢🎉,1
1233882952133677057,"Greetings from College Park, #Terps and  Michigan State in 2 and a half hours.  Student section already filling up.  I’ve got the latest at 6:15 on @wbaltv11 https://t.co/gGQpsyqGeZ",2
1238287390562750465,"@TheAndyKatz @marchmadness As a @TerrapinHoops  fan that lives right outside Rick Hill SC. I was wondering what the chances were my Terps would have faced off against @Winthrop_MBB?
 This would have been a dream early round matchup for me.",1
1238327857832747008,"Ten teams have been ranked in the men’s basketball @AP_Top25 every week this season.

Auburn
Baylor
Duke
Gonzaga
Kansas
Kentucky 
Louisville
Maryland
Oregon
Villanova",2
