status_id,text
1238453082222182401,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1237392516598525952,"Up in flames: Diamondback sports reporters recall covering basketball riots in College Park.

https://t.co/3gQn9ClHOE"
1233958523865878530,@ryan_pickle13 @benjholler @TerrapinHoops College game day doesn’t show up every game. This team let the fan see down tonight. Period.
1238139828321112065,"If you played your last game in a @TerrapinHoops, thank you. Big 10 Champion. @AnthonyCowanJr https://t.co/5zfvp2ELjG"
1233958298791092225,"Wrestlers: 7-0 at home + NCAA attendance record.

Women: 36 straight at home, second longest in nation.

Men: Just won 13th straight at home &amp; with Maryland’s loss tonight is lone B1G team that is unbeaten in conference play.

What a winter at Carver.
https://t.co/EdAE0UlfvA"
1236720351402430464,"Badgers will be seeded No. 1 for Big Ten men's basketball tournament, thanks to Maryland's victory over Michigan https://t.co/DuSph6svIE"
1236679406036320256,"Some CBB to start the day 🚨🚨

🏀 4u: Maryland -4 (-120) 

🏀 4u: OVER 136 in MEM/HOU (-110) 

LETS MAKE SOME $$$ 🤑🤑🤑 #ridethewave https://t.co/fuDBDvrBLY"
1238492183256338432,The Big Ten Conference is walking back their initial cancellation of all spring sports through the academic year. Now suspended until April 6 and will  re-evaluate then. Statement: #Terps @WMAR2News https://t.co/vw02r2W4am
1233933699554697216,#MSUvsMD @TerrapinHoops @CoachTurgeon  How many damn times does Ayala have to kill you on D to cause a basket Mark? The kid cannot play right now - SIT HIM! He is killing the team
1236796642562437126,@CoachTurgeon @TerrapinHoops Great win. Keeps those kids hungry and focused. We have a real shot at making a run in the tourney
1236822524396257280,"“Just to come back and do something that’s never happened in Maryland history…it means everything.” 

@AnthonyCowanJr joined @TheAndyKatz after @TerrapinHoops secured a share of the Big Ten regular-season championship at his final home game. https://t.co/foNuqHvTWV"
1233953183136911360,@umterps Please fire Turgeon. He is a complete trash coach. #Terps
1238221580955770880,@TerrapinHoops Congrats on a GREAT year. May GOD bless each of you on your next chapter of your life. #FearTheTurtle
1236030337123266560,😳😳😳
1237214342526816256,"After winning the Big Ten title for the first time ever, @TerrapinHoops still has more work to do. @BustingBrackets breaks down the game and excitement from the B1G moment. #Terps #TerpNation
https://t.co/lELOK2k6yp"
1236718589350219779,"#Terps earn a share of the Big Ten Title beating #Michigan  83-70.   .4 in double figures.  Cowan had 20, Jalen Smith with 18 and 11.  Ayala had 19 and Wiggins 15."
1235588942038261762,"@marchmadness @NaismithTrophy @KUHoops @DukeMBB @Aztec_MBB @IowaHoops @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @DaytonFlyers Toppin, Garza, or Powell will win it."
1236705749004361728,"@JamieJo59840857 @NaismithTrophy @CitizenWatchUS @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @BIGEAST @pac12 @bigten @atlantic10 To clarify, they play each other.. that game IMO is a play in game for the NCAA tourney."
1238296041780322305,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
