ID,patent_title,patent_year,patent_abstract,label
1,Method for binding site identification by molecular dynamics simulation (silcs: site identification by ligand competitive saturation),2018,"The invention describes an explicit solvent all-atom molecular dynamics methodology (SILCS: Site Identification by Ligand Competitive Saturation) that uses small aliphatic and aromatic molecules plus water molecules to map the affinity pattern of a large molecule for hydrophobic groups, aromatic groups, hydrogen bond donors, and hydrogen bond acceptors. By simultaneously incorporating ligands representative of all these functionalities, the method is an in silico free energy-based competition assay that generates three-dimensional probability maps of fragment binding (FragMaps) indicating favorable fragment:large molecule interactions. The FragMaps may be used to qualitatively inform the design of small-molecule ligands or as scoring grids for high-throughput in silico docking that incorporates both an atomic-level description of solvation and the large molecule's flexibility.",False
2,Methods for recovery of leaf proteins,2018,"A novel method for processing soluble plant leaf proteins is described. While leaf proteins are considered potentially the most abundant source of protein in nature, the lack of efficient processing techniques for leaf proteins has limited their commercial use. The method described in this patent provides a means of extracting and purifying leaf proteins from plants which is suitable for leaf protein production on an industrial scale.",True
3,Bacterial live vector vaccines expressing chromosomally-integrated foreign antigens,2018,"Bacterial live vector vaccines represent a vaccine development strategy that offers exceptional flexibility. In the present invention, genes encoding protective antigens of unrelated bacterial, viral, parasitic, or fungal pathogens are expressed in an attenuated bacterial vaccine strain that delivers these foreign antigens to the immune system, thereby eliciting relevant immune responses. Rather than expressing these antigens using only low copy expression plasmids, expression of foreign proteins is accomplished using both low copy expression plasmids in conjunction with chromosomal integrations within the same live vector. This strategy compensates for the inherent disadvantage of loss of gene dosage (versus exclusive plasmid-based expression) by integrating antigen expression cassettes into multiple chromosomal sites already inactivated in an attenuated vector.",True
4,"Systems, methods, and devices for health monitoring of an energy storage device",2018,A health monitoring device includes an ultrasound source and an ultrasound sensor. The ultrasound source can be configured to generate and direct ultrasound at an energy storage device. The ultrasound sensor can be configured to detect ultrasound reflected from or transmitted through the energy storage device and to generate a signal responsive to the detected ultrasound from the energy storage device. A control unit can be configured to determine a state of health of the energy storage device based on the signal from the ultrasound sensor.,False
5,Sparse decomposition of head related impulse responses with applications to spatial audio rendering,2018,"This application describes methods of signal processing and spatial audio synthesis. One such method includes accepting an auditory signal and generating an impression of auditory virtual reality by processing the auditory signal to impute a spatial characteristic on it via convolution with a plurality of head-related impulse responses. The processing is performed in a series of steps, the steps including: performing a first convolution of an auditory signal with a characteristic-independent, mixed-sign filter and performing a second convolution of the result of first convolution with a characteristic-dependent, sparse, non-negative filter. In some described methods, the first convolution can be pre-computed and the second convolution can be performed in real-time, thereby resulting in a reduction of computational complexity in said methods of signal processing and spatial audio synthesis.",False
6,Combination dopamine antagonist and opiate receptor antagonist treatment of addictive behavior,2018,"The present invention is directed to a method of treating or preventing an addictive behavior in a subject, said method comprising administering to said subject an effective amount of a dopamine antagonist and a opiate receptor antagonist or a composition comprising same. Further provided are pharmaceutical compositions comprising, as active substances, at least one dopamine antagonist and at least one opiate receptor antagonist.",True
7,Flapping wing aerial vehicles,2018,"An autonomous flapping wing aerial vehicle can have a vehicle body, a pair of flapping wings, tunable wing hinges, and elastic drive mechanisms. The tunable wing hinges can be coupled to the flapping wings. Each wing hinge can be constructed to deliver a force to a respective one of the flapping wings to alter end points of a stroke thereof. The elastic drive mechanisms can rotate the flapping wings about pivot points to produce the strokes of the flapping wings. The elastic drive mechanism can be driven at or near a resonance thereof. Alterations to the strokes of the flapping wings produced by the combined effect of the tunable wing hinges and the elastic drive mechanisms, operating in parallel, can provide steering control of the aerial vehicle.",False
8,Compositions and vaccines comprising vesicles and methods of using the same,2018,"The disclosure relates to compositions, pharmaceutical compositions, vaccines, and methods of making and using the same. The compositions of the disclosure are useful to stimulate an antigen-specific immune response and, in some embodiments, a protective immune response in an animal after challenge to pathogens. The compositions of the disclosure are also useful for treatment and prevention of disease in a subject such as cancer.",True
9,"Solid-state heating or cooling systems, devices, and methods",2018,"A system for heating/cooling includes a plurality of thermoelastic modules. Each of the modules includes one or more structures formed of shape memory alloy, which converts from austenite to martensite upon application of a first stress and release latent heat from the conversion. During a first part of a heating/cooling cycle, a first module is stressed to cause conversion. The latent heat released from the first module is rejected to a heat sink while a second unstressed module absorbs heat from a heat source. During a second part of the heating/cooling cycle, the first and second modules are connected together to transfer heat therebetween for heat recovery. The cycle can be repeated indefinitely with the first and second modules alternating roles. Structures of the thermoelastic cooling material and specific applications thereof are also disclosed.",False
10,"Surface vehicle trajectory planning systems, devices, and methods",2018,"A planning module for a water surface vehicle can determine a vehicle trajectory that avoids one or more moving obstacles, such as civilian marine vessels, by performing a lattice-based heuristic search of a state space for the surface vehicle and selecting control action primitives from a predetermined set of control action primitives based on the search. The planning module can separate a travel space into a plurality of regions and can independently scale the control action primitives in each region based on the moving obstacles therein. The heuristic search includes evaluating a cost function at each state of the state space. The cost function can be based on at least predicted movement of the obstacles responsive to respective maneuvers performed by the surface vehicle at each node of the search.",False
